# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

kvstoreScanCallbackData	kvstoreScanCallbackData	kvstore.c	390	3	kvstoreScanFunction:scan_cb; void *:privdata; int:didx	TODO(architect): assign canonical Rust type
latencySample	latencySample	latency.h	47	2	int32_t:time; uint32_t:latency	TODO(architect): assign canonical Rust type
latencyTimeSeries	latencyTimeSeries	latency.h	53	5	int:idx; uint32_t:max; uint32_t:sum; uint32_t:cnt; struct latencySample:samples	TODO(architect): assign canonical Rust type
latencyStats	latencyStats	latency.h	62	7	uint32_t:all_time_high; uint32_t:avg; uint32_t:min; uint32_t:max; uint32_t:mad; ...	TODO(architect): assign canonical Rust type
durationStats	durationStats	latency.h	99	3	unsigned long long:cnt; unsigned long long:sum; unsigned long long:max	TODO(architect): assign canonical Rust type
listpackEntry		listpack.h	49	3	unsigned char *:sval; uint32_t:slen; long long:lval	TODO(architect): assign canonical Rust type
lwCanvas	lwCanvas	lolwut.h	41	3	int:width; int:height; char *:pixels	TODO(architect): assign canonical Rust type
skyscraper	skyscraper	lolwut6.c	74	5	int:xoff; int:width; int:height; int:windows; int:color	TODO(architect): assign canonical Rust type
KeyPrefetchInfo	KeyPrefetchInfo	memory_prefetch.c	21	2	PrefetchState:state; hashtableIncrementalFindState:hashtab_state	TODO(architect): assign canonical Rust type
PrefetchCommandsBatch	PrefetchCommandsBatch	memory_prefetch.c	27	11	size_t:cur_idx; size_t:keys_done; size_t:key_count; size_t:client_count; size_t:max_prefetch_size; ...	TODO(architect): assign canonical Rust type
